-DOCSTART- -X- -X- O
in IN IN O
the DT DT O
margin NN NN O
thereof NN NN O
the DT DT O
portions NNS NNS O
that IN IN O
are VBP VBP O
so RB RB O
stressed VBN VBN O

Accordingly RB RB O
, , , O
it PRP PRP O
was VBD VBD O
done VBN VBN O

The DT DT O
Special JJ JJ O
Leave VB VB O
Petition NN NN O
No DT DT O
. . . O
507 CD CD O
of IN IN O
1989 CD CD O
filed VBN VBN O
against IN IN O
that IN IN O
order NN NN O
came VBD VBD O
to TO TO O
be VB VB O
dismissed VBN VBN O
by IN IN O
order NN NN O
dated VBN VBN O
January NNP NNP O
23 CD CD O
, , , O
1989 CD CD O
of IN IN O
another DT DT O
Bench NN NN O
of IN IN O
two CD CD O
Judges NNS NNS O

In IN IN O
the DT DT O
light NN NN O
of IN IN O
the DT DT O
above IN IN O
background NN NN O
, , , O
an DT DT O
argument NN NN O
was VBD VBD O
raised VBN VBN O
in IN IN O
the DT DT O
appeal NN NN O
that IN IN O
the DT DT O
appellant NN NN O
was VBD VBD O
prejudiced VBN VBN O
for IN IN O
non NN NN O
- : : O
compliance NN NN O
of IN IN O
the DT DT O
procedure NN NN O
under IN IN O
Section NN NN B-Section
99 CD CD I-Section

The DT DT O
Bench NN NN O
had VBD VBD O
held NN NN O
that IN IN O
" NN NN O
it PRP PRP O
is VBZ VBZ O
difficult JJ JJ O
to TO TO O
visualize NN NN O
what WP WP O
prejudice NN NN O
was VBD VBD O
caused VBN VBN O
to TO TO O
the DT DT O
notice NN NN O
on IN IN O
these DT DT O
facts NNS NNS O
and CC CC O
how WRB WRB O
there RB RB O
should MD MD O
be VB VB O
any DT DT O
non NN NN O
- : : O
compliance NN NN O
of IN IN O
Section NN NN B-Section
99 CD CD I-Section
of IN IN O
the DT DT O
Representation NN NN B-Act
of IN IN I-Act
the DT DT I-Act
People NNS NNS I-Act
Act NNP NNP I-Act
in IN IN O
this DT DT O
situation NN NN O
" NN NN O
and CC CC O
it PRP PRP O
was VBD VBD O
held NN NN O
that IN IN O
, , , O
in IN IN O
short JJ JJ O
, , , O
the DT DT O
opportunity NN NN O
which WDT WDT O
a DT DT O
party NN NN O
to TO TO O
the DT DT O
petition NN NN O
had VBD VBD O
at IN IN O
the DT DT O
trial NN NN O
to TO TO O
defend NN NN O
allegations NNS NNS O
of IN IN O
corrupt NN NN O
practices NNS NNS O
is VBZ VBZ O
to TO TO O
be VB VB O
given VBN VBN O
by IN IN O
such JJ JJ O
a DT DT O
notice NN NN O
to TO TO O
that IN IN O
person NN NN O
of IN IN O
defending VBG VBG O
himself PRP PRP O
if IN IN O
he PRP PRP O
was VBD VBD O
not RB RB O
already RB RB O
a DT DT O
party NN NN O
to TO TO O
the DT DT O
petition NN NN O

In IN IN O
other JJ JJ O
words NNS NNS O
, , , O
the DT DT O
notice NN NN O
has VBZ VBZ O
to TO TO O
be VB VB O
equated VBN VBN O
with IN IN O
a DT DT O
party NN NN O
to TO TO O
the DT DT O
petition NN NN O
for IN IN O
this DT DT O
purpose NN NN O
and CC CC O
has VBZ VBZ O
to TO TO O
be VB VB O
given VBN VBN O
the DT DT O
same JJ JJ O
opportunity NN NN O
which WDT WDT O
he PRP PRP O
would MD MD O
get VB VB O
of IN IN O
he PRP PRP O
was VBD VBD O
made VBN VBN O
a DT DT O
party NN NN O
to TO TO O
the DT DT O
petition NN NN O

This DT DT O
is VBZ VBZ O
the DT DT O
pragmatic JJ JJ O
test NN NN O
to TO TO O
be VB VB O
applied VBN VBN O
for IN IN O
deciding VBG VBG O
the DT DT O
question NN NN O
of IN IN O
compliance NN NN O
of IN IN O
requirements NNS NNS O
of IN IN O
Section NN NN B-Section
99 CD CD I-Section
, , , O
the DT DT O
opportunity NN NN O
required VBN VBN O
to TO TO O
be VB VB O
given VBN VBN O
by IN IN O
virtue NN NN O
of IN IN O
proviso NN NN O
to TO TO O
sub NN NN B-Section
- : : I-Section
section NN NN I-Section
[ NN NN I-Section
1 CD CD I-Section
] NN NN I-Section
of IN IN I-Section
Section NN NN I-Section
99 CD CD I-Section
is VBZ VBZ O
the DT DT O
same JJ JJ O
and CC CC O
not RB RB O
more RBR RBR O
than IN IN O
that IN IN O
available JJ JJ O
to TO TO O
a DT DT O
party NN NN O
to TO TO O
the DT DT O
petition NN NN O
to TO TO O
defend NN NN O
himself PRP PRP O
in IN IN O
respect NN NN O
of IN IN O
corrupt NN NN O
practices NNS NNS O

It PRP PRP O
was VBD VBD O
held NN NN O
, , , O
therefore RB RB O
, , , O
that IN IN O
the DT DT O
grievance NN NN O
that IN IN O
the DT DT O
portion NN NN O
of IN IN O
the DT DT O
material NN NN O
which WDT WDT O
formed VBN VBN O
the DT DT O
record NN NN O
at IN IN O
the DT DT O
trial NN NN O
was VBD VBD O
not RB RB O
purposely RB RB O
communicated VBN VBN O
to TO TO O
the DT DT O
notice NN NN O
, , , O
had VBD VBD O
no DT DT O
merit NN NN O

The DT DT O
earlier RBR RBR O
Bench NN NN O
of IN IN O
three CD CD O
Judges NNS NNS O
in IN IN O
Manohar NN NN O
Joshi NN NN O
Case NN NN O
No DT DT O
. . . O
2 CD CD O
[ NN NN O
supra NN NN O
] NN NN O
in IN IN O
the DT DT O
same JJ JJ O
situation NN NN O
arising VBG VBG O
out IN IN O
of IN IN O
Election NN NN O
Petition NN NN O
No DT DT O
. . . O
9 CD CD O
of IN IN O
1990 CD CD O
from IN IN O
the DT DT O
same JJ JJ O
Court NNP NNP O
had VBD VBD O
held NN NN O
that IN IN O
notice NN NN O
should MD MD O
contain NN NN O
the DT DT O
portions NNS NNS O
of IN IN O
the DT DT O
petition NN NN O
, , , O
written VBN VBN O
statement NN NN O
, , , O
oral JJ JJ O
and CC CC O
documentary NN NN O
evidence NN NN O
which WDT WDT O
is VBZ VBZ O
sought NN NN O
to TO TO O
be VB VB O
relied VBN VBN O
upon IN IN O
in IN IN O
support NN NN O
of IN IN O
the DT DT O
said VBD VBD O
charge NN NN O
or CC CC O
each DT DT O
of IN IN O
the DT DT O
said VBD VBD O
charges NNS NNS O
and CC CC O
the DT DT O
prima NN NN O
facie NN NN O
findings NNS NNS O
thereon NN NN O
which WDT WDT O
is VBZ VBZ O
the DT DT O
minimum NN NN O
safeguard NN NN O

In IN IN O
other JJ JJ O
words NNS NNS O
, , , O
a DT DT O
mini NN NN O
judgment NN NN O
was VBD VBD O
required VBN VBN O
to TO TO O
be VB VB O
rendered VBN VBN O

The DT DT O
orders NNS NNS O
referred VBN VBN O
to TO TO O
on IN IN O
the DT DT O
special JJ JJ O
leave VB VB O
petitions NNS NNS O
in IN IN O
Dr NN NN O

Probhoo NN NN O
' '' '' O
s NN NN O
case NN NN O
were VBD VBD O
deemed VBN VBN O
to TO TO O
have VB VB O
been VBN VBN O
overruled VBN VBN O

It PRP PRP O
would MD MD O
thus RB RB O
be VB VB O
seen VBN VBN O
that IN IN O
the DT DT O
decisions NNS NNS O
in IN IN O
Manohar NN NN O
Joshi NN NN O
' '' '' O
s NN NN O
No DT DT O
. . . O
2 CD CD O
and CC CC O
Dr NN NN O

Dr NN NN O

Prabhoo NN NN O
' '' '' O
s NN NN O
case NN NN O
are VBP VBP O
mutually RB RB O
conflicting VBG VBG O

If IN IN O
this DT DT O
Bench NN NN O
was VBD VBD O
to TO TO O
take VB VB O
yet RB RB O
another DT DT O
view NN NN O
, , , O
it PRP PRP O
would MD MD O
create NN NN O
yet RB RB O
another DT DT O
dimension NN NN O

Which WDT WDT O
of IN IN O
the DT DT O
two CD CD O
views NNS NNS O
is VBZ VBZ O
correct NN NN O
is VBZ VBZ O
the DT DT O
question NN NN O
required VBN VBN O
to TO TO O
be VB VB O
decided VBD VBD O
by IN IN O
a DT DT O
larger JJR JJR O
Bench NN NN O
of IN IN O
five CD CD O
Judges NNS NNS O

In IN IN O
Dr NN NN O

Prabhoo NN NN O
' '' '' O
s NN NN O
case NN NN O
it PRP PRP O
was VBD VBD O
held NN NN O
that IN IN O
counsel NN NN O
to TO TO O
the DT DT O
speeches NNS NNS O
of IN IN O
the DT DT O
collaborators NNS NNS O
by IN IN O
the DT DT O
returned VBN VBN O
candidate NN NN O
should MD MD O
be VB VB O
inferred VBN VBN O
and CC CC O
accordingly RB RB O
in IN IN O
paragraphs NN NN O
53 CD CD O
and CC CC O
57 CD CD O
the DT DT O
Court NNP NNP O
inferred VBN VBN O
such JJ JJ O
a DT DT O
consent NN NN O
but CC CC O
in IN IN O
other JJ JJ O
cases NNS NNS O
, , , O
it PRP PRP O
was VBD VBD O
held NN NN O
that IN IN O
consent NN NN O
is VBZ VBZ O
required VBN VBN O
to TO TO O
be VB VB O
proved VBN VBN O

There EX EX O
appears VBZ VBZ O
to TO TO O
be VB VB O
some DT DT O
inconsistency NN NN O
in IN IN O
the DT DT O
above IN IN O
view NN NN O

In IN IN O
any DT DT O
case NN NN O
as IN IN O
to TO TO O
when WRB WRB O
the DT DT O
case NN NN O
is VBZ VBZ O
held NN NN O
proved VBN VBN O
has VBZ VBZ O
not RB RB O
been VBN VBN O
specifically RB RB O
laid NN NN O
as IN IN O
law NN NN O

This DT DT O
requires VBZ VBZ O
to TO TO O
be VB VB O
authoritatively RB RB O
decided VBD VBD O

Its PRP$ PRP$ O
content NN NN O
and CC CC O
scope NN NN O
also RB RB O
require NN NN O
to TO TO O
be VB VB O
clearly RB RB O
laid NN NN O
down RB RB O
authoritatively RB RB O
lest JJS JJS O
miscarriage NN NN O
of IN IN O
justice NN NN O
in IN IN O
interpretation NN NN O
of IN IN O
" NN NN O
corrupt NN NN O
practice NN NN O
" NN NN O
involved VBN VBN O
in IN IN O
every DT DT O
election NN NN O
petition NN NN O
would MD MD O
ensue NN NN O

The DT DT O
purity NN NN O
of IN IN O
election NN NN O
process NN NN O
gets VBZ VBZ O
fouled VBN VBN O
and CC CC O
be VB VB O
fraught NN NN O
with IN IN O
deleterious JJ JJ O
effect NN NN O
in IN IN O
a DT DT O
democratic JJ JJ O
polity NN NN O

Thus RB RB O
, , , O
without IN IN O
expressing VBG VBG O
any DT DT O
opinion NN NN O
on IN IN O
these DT DT O
questions NNS NNS O
, , , O
we PRP PRP O
are VBP VBP O
of IN IN O
the DT DT O
view NN NN O
that IN IN O
the DT DT O
entire JJ JJ O
case NN NN O
requires VBZ VBZ O
to TO TO O
be VB VB O
heard NN NN O
and CC CC O
decided VBD VBD O
by IN IN O
a DT DT O
large JJ JJ O
Bench NN NN O
of IN IN O
five CD CD O
Judges NNS NNS O
since IN IN O
the DT DT O
decision NN NN O
thereon NN NN O
upon IN IN O
the DT DT O
purity NN NN O
of IN IN O
election NN NN O
process NN NN O
and CC CC O
requires VBZ VBZ O
to TO TO O
be VB VB O
decided VBD VBD O
authoritatively RB RB O

We PRP PRP O
, , , O
therefore RB RB O
, , , O
direct JJ JJ O
the DT DT O
Registry NN NN O
to TO TO O
place NN NN O
the DT DT O
case NN NN O
before IN IN O
our PRP$ PRP$ O
learned VBN VBN O
brother NN NN O
, , , O
the DT DT O
Chief NN NN O
Justice NN NN O
for IN IN O
constituting VBG VBG O
a DT DT O
larger JJR JJR O
Bench NN NN O
of IN IN O
five CD CD O
Judges NNS NNS O
, , , O
and CC CC O
, , , O
if IN IN O
possible JJ JJ O
, , , O
at IN IN O
an DT DT O
early RB RB O
date NN NN O
so RB RB O
that IN IN O
all DT DT O
the DT DT O
questions NNS NNS O
arising VBG VBG O
in IN IN O
the DT DT O
present NN NN O
appeal NN NN O
could MD MD O
be VB VB O
decided VBD VBD O
authoritatively RB RB O
and CC CC O
expeditiously RB RB O

Thus RB RB O
, , , O
this DT DT O
reference NN NN O
order NN NN O
of IN IN O
in IN IN O
the DT DT O
above IN IN O
terms NNS NNS O

